rate_id,contractor_id_snap,contractor_name_snap,project_id_snap,project_name_snap,labor_code,labor_description,unit,unit_rate,effective_date,expiration_date,active,supersedes_rate_id,status,notes
RATE-000021,CON-0001,River City Communications,,,BHF-17T,Labor only to install small handholle. Size 17x30x24 Tier 22 Traffic rated.,EA,250,2026-01-01,,yes,,ACTIVE,Loaded from River_City_Rates.xlsx
RATE-000022,CON-0001,River City Communications,,,BHF-30T,Labor only to install 24x3 x3 Tier 22 Traffic rated.,EA,250,2026-01-01,,yes,,ACTIVE,Loaded from River_City_Rates.xlsx
RATE-000023,CON-0001,River City Communications,,,BHF-48T,Labor only to install 30x48x3 Tier 22 Traffic rated.,EA,400,2026-01-01,,yes,,ACTIVE,Loaded from River_City_Rates.xlsx
RATE-000024,CON-0001,River City Communications,,,BHF-60T,"Labor only to install 30""<VAULT 60"" Tier 22 Traffic rated.",EA,475,2026-01-01,,yes,,ACTIVE,Loaded from River_City_Rates.xlsx
RATE-000025,CON-0001,River City Communications,,,BDO-SC144,"Labor to install 30""<VAULT 48"" Tier 22 Traffic rated and mount 144 cabinet",EA,550,2026-01-01,,yes,,ACTIVE,Loaded from River_City_Rates.xlsx
RATE-000026,CON-0001,River City Communications,,,BDO-SC288,"Labor to install 30""<VAULT 48"" Tier 22 Traffic rated and mount 288 cabinet",EA,550,2026-01-01,,yes,,ACTIVE,Loaded from River_City_Rates.xlsx
RATE-000027,CON-0001,River City Communications,,,BDO-SC432,"Labor to install 30""<VAULT 60"" Tier 22 Traffic rated and mount 432 cabinet",EA,650,2026-01-01,,yes,,ACTIVE,Loaded from River_City_Rates.xlsx
RATE-000028,CON-0001,River City Communications,,,BDO-SC576,"Labor to install 30""<VAULT 60"" Tier 22 Traffic rated and mount 576 cabinet",EA,750,2026-01-01,,yes,,ACTIVE,Loaded from River_City_Rates.xlsx
RATE-000029,CON-0001,River City Communications,,,BM60(MICRO),Labor to place a vacant M CRO conduit inside an existing larger conduit.,FT,1.25,2026-01-01,,yes,,ACTIVE,Loaded from River_City_Rates.xlsx
RATE-000030,CON-0001,River City Communications,,,BM60(1)(1.25),"Labor to place a vacant 1.25"" conduit inside an existing larger conduit.",FT,1.25,2026-01-01,,yes,,ACTIVE,Loaded from River_City_Rates.xlsx
RATE-000031,CON-0001,River City Communications,,,BM60(1)(0.75) T,"Labor to place one (1) vacant 3/4"" conduit via the open trench method. Min depth to be 3 "" to 42"".",FT,6,2026-01-01,,yes,,ACTIVE,Loaded from River_City_Rates.xlsx
RATE-000032,CON-0001,River City Communications,,,BM60(1)(1.25) T,"Labor to place one (1) vacant 1.25"" conduit via the open trench method. Min depth to be 3 "" to 42"".",FT,6,2026-01-01,,yes,,ACTIVE,Loaded from River_City_Rates.xlsx
